,Share,Increase_Percentage
356,NETAS,37.962966269841274
357,NIBAS,27.83883516483516
358,NUHCM,55.04272991452993
359,NUGYO,46.58634538152609
360,OBASE,NaN
361,ODAS,124.44029850746267
362,ONCSM,NaN
363,ORCAY,29.481481481481495
364,ORGE,124.92696568028404
366,OSMEN,190.1861250039367
367,OSTIM,218.5534591194969
368,OTKAR,56.145804106353495
369,OTTO,148.85416041666667
370,OYAKC,130.2120293361141
371,OYYAT,33.90927824219011
372,OYAYO,313.8775612244898
373,OYLUM,75.5043227665706
374,OZKGY,87.33668341708545
376,OZGYO,36.81318681318683
377,OZRDN,170.04083265306122
378,OZSUB,NaN
379,PAMEL,7.459929854376014
380,PAGYO,17.046231884057974
382,PNLSN,41.36125284394626
383,PAPIL,126.67758592471358
384,PRDGS,NaN
385,PRKME,70.82018927444796
386,PARSN,136.47175547132298
387,PSGYO,NaN
389,PCILT,NaN
390,PGSUS,120.27649769585253
391,PEKGY,214.69028318584066
393,PENGD,74.38202247191012
394,PENTA,70.12987012987014
395,PEGYO,8.119658119658126
396,PSDTC,73.15715924895687
397,PETKM,47.51203049759229
398,PKENT,30.291623792334235
399,PETUN,56.76567656765678
400,PINSU,45.889387144992526
401,PNSUT,63.48884307279599
402,PKART,27.951811244979936
403,PLTUR,NaN
404,POLHO,20.967741935483858
405,POLTK,173.9348317427985
406,PRZMA,101.18343195266274
407,QNBFL,26.565347112462007
408,QNBFB,23.85872234163196
410,QUAGR,-5.06849315068493
411,RNPOL,NaN
412,RALYH,81.80893329656641
413,RAYSG,86.52850707401592
414,RYGYO,94.11763708873383
416,RYSAS,36.69984933499825
417,RHEAG,NaN
418,RODRG,20.463510343601797
420,RTALB,40.99037138927099
421,RUBNS,41.22893954410307
422,SAHOL,51.97887852354202
423,SAFKR,63.82505559673831
424,SANEL,15.945078355592486
425,SANFM,49.36026936026937
426,SANKO,17.120275806836005
427,SAMAT,-36.03042876901799
428,SARKY,58.82353921568628
429,SASA,50.489735740738865
430,SAYAS,206.9456514236411
431,SDTTR,NaN
432,SEKUR,66.61971830985917
433,SELEC,96.07842425278054
434,SELGD,113.47248576850097
435,SELVA,NaN
436,SNKRN,NaN
437,SNICA,NaN
438,SRVGY,96.0655737704918
440,SEYKM,94.1994180944904
441,SILVR,30.677290836653356
442,SNGYO,36.93693693693692
444,SMRTG,141.65989025483293
445,SMART,125.035765379113
447,SOKE,NaN
448,SKTAS,36.90851735015772
449,SONME,61.3240327064797
450,SNPAM,64.95725641025643
452,SUNTK,66.0404749156344
453,SEKFK,68.17625458996329
454,SEGYO,NaN
456,SKBNK,33.76623376623377
458,SISE,36.046513280451876
459,SUWEN,NaN
460,SOKM,70.24344555552358
461,HALKB,39.73384030418251
463,KLNMA,15.51418439716312
467,TSKB,55.01285347043702
469,TBORG,11.054137382002125
470,TNZTP,98.41427651139742
471,TATGD,75.04798464491361
472,TAVHL,41.547991331269344
473,TETMT,580.4404805522887
474,TEKTU,44.72573839662448
475,TKFEN,36.789503435352884
476,TKNSA,63.142003815226815
477,TMPOL,96.57827615818121
478,TERA,55.099999999999994
479,TFNVK,NaN
480,TGSAS,86.91323613086769
481,TOASO,21.07279663209583
482,TRGYO,78.54013868613137
484,TLMAN,99.81325396825395
485,TSPOR,62.53521126760563
486,TDGYO,77.93103448275863
487,TSGYO,56.563245823388996
488,TUCLK,107.52968499739188
489,TUKAS,118.66886666702382
490,TRCAS,30.35294901960782
491,TUREX,NaN
492,TRILC,NaN
493,TCELL,65.5943647547293
494,TMSN,112.75219865494051
495,TUPRS,41.3867137120821
496,THYAO,106.30416380923302
497,PRKAB,22.301582448349905
498,TTKOM,41.0958904109589
499,TTRAK,91.49703747694329
500,TURGG,42.87885945952064
501,TURSG,73.53255069370334
503,UFUK,51.44787358007477
504,ULAS,-2.9126213592232943
505,ULUFA,44.19410745233969
506,ULUSE,18.488373837209295
507,ULUUN,42.118440366972465
509,USAK,113.22033898305082
511,ULKER,53.05706341518129
512,UNLU,83.35500650195058
