,Share_Name,Bilanco_Date,Cari_Oran,Nakit_Oran,Toplam_Yabancı_Kaynaklar_Oz_Kaynaklar_Oranı,Alacak_Devir_Hızı,Aktif_Devir_Hızı,Oz_Varlık_Karlılıgı,Kar_Marjları,Hisse_Bası_Kazanc,Fiyat_Satıs_Oranı,Total
225,KRSTL,0,0,0,0,0,0,0,0,0,0,0
226,KRONT,0,0,0,0,0,0,0,0,0,0,0
227,KUVVA,0,0,0,0,0,0,0,0,0,0,0
228,KUYAS,0,0,0,0,0,0,0,0,0,0,0
229,KUTPO,0,0,0,0,0,0,0,0,0,0,0
230,KTSKR,0,0,0,0,0,0,0,0,0,0,0
231,LIDER,0,0,0,0,0,0,0,0,0,0,0
232,LINK,0,0,0,0,0,0,0,0,0,0,0
233,LOGO,0,0,0,0,0,0,0,0,0,0,0
234,LKMNH,0,0,0,0,0,0,0,0,0,0,0
235,LUKSK,0,0,0,0,0,0,0,0,0,0,0
236,MAKTK,0,0,0,0,0,0,0,0,0,0,0
237,MANAS,0,0,0,0,0,0,0,0,0,0,0
238,MAGEN,0,0,0,0,0,0,0,0,0,0,0
239,MARKA,0,0,0,0,0,0,0,0,0,0,0
240,MAALT,0,0,0,0,0,0,0,0,0,0,0
241,MRSHL,0,0,0,0,0,0,0,0,0,0,0
242,MRGYO,0,0,0,0,0,0,0,0,0,0,0
243,MARTI,0,0,0,0,0,0,0,0,0,0,0
244,MTRKS,0,0,0,0,0,0,0,0,0,0,0
245,MAVI,0,0,0,0,0,0,0,0,0,0,0
246,MZHLD,0,0,0,0,0,0,0,0,0,0,0
247,MEDTR,0,0,0,0,0,0,0,0,0,0,0
248,MEGAP,0,0,0,0,0,0,0,0,0,0,0
249,MNDRS,0,0,0,0,0,0,0,0,0,0,0
250,MEPET,0,0,0,0,0,0,0,0,0,0,0
251,MERCN,0,0,0,0,0,0,0,0,0,0,0
252,MERIT,0,0,0,0,0,0,0,0,0,0,0
253,METUR,0,0,0,0,0,0,0,0,0,0,0
254,METRO,0,0,0,0,0,0,0,0,0,0,0
255,MTRYO,0,0,0,0,0,0,0,0,0,0,0
256,MIATK,0,0,0,0,0,0,0,0,0,0,0
257,MGROS,0,0,0,0,0,0,0,0,0,0,0
258,MIPAZ,0,0,0,0,0,0,0,0,0,0,0
259,MSGYO,0,0,0,0,0,0,0,0,0,0,0
260,MPARK,0,0,0,0,0,0,0,0,0,0,0
261,MMCAS,0,0,0,0,0,0,0,0,0,0,0
262,MOBTL,0,0,0,0,0,0,0,0,0,0,0
263,MNDTR,0,0,0,0,0,0,0,0,0,0,0
264,EGEPO,0,0,0,0,0,0,0,0,0,0,0
265,NATEN,0,0,0,0,0,0,0,0,0,0,0
266,NTGAZ,0,0,0,0,0,0,0,0,0,0,0
267,NTHOL,0,0,0,0,0,0,0,0,0,0,0
268,NETAS,0,0,0,0,0,0,0,0,0,0,0
269,NIBAS,0,0,0,0,0,0,0,0,0,0,0
270,NUHCM,0,0,0,0,0,0,0,0,0,0,0
271,NUGYO,0,0,0,0,0,0,0,0,0,0,0
272,ODAS,0,0,0,0,0,0,0,0,0,0,0
273,ORCAY,0,0,0,0,0,0,0,0,0,0,0
274,ORGE,0,0,0,0,0,0,0,0,0,0,0
275,OSTIM,0,0,0,0,0,0,0,0,0,0,0
276,OTKAR,0,0,0,0,0,0,0,0,0,0,0
277,OTTO,0,0,0,0,0,0,0,0,0,0,0
278,OYAKC,0,0,0,0,0,0,0,0,0,0,0
279,OYAYO,0,0,0,0,0,0,0,0,0,0,0
280,OYLUM,0,0,0,0,0,0,0,0,0,0,0
281,OZGYO,0,0,0,0,0,0,0,0,0,0,0
282,OZRDN,0,0,0,0,0,0,0,0,0,0,0
283,PAMEL,0,0,0,0,0,0,0,0,0,0,0
284,PNLSN,0,0,0,0,0,0,0,0,0,0,0
285,PAGYO,0,0,0,0,0,0,0,0,0,0,0
286,PAPIL,0,0,0,0,0,0,0,0,0,0,0
287,PRKME,0,0,0,0,0,0,0,0,0,0,0
288,PARSN,0,0,0,0,0,0,0,0,0,0,0
289,PCILT,0,0,0,0,0,0,0,0,0,0,0
290,PGSUS,0,0,0,0,0,0,0,0,0,0,0
291,PEKGY,0,0,0,0,0,0,0,0,0,0,0
292,PENGD,0,0,0,0,0,0,0,0,0,0,0
293,PENTA,0,0,0,0,0,0,0,0,0,0,0
294,PEGYO,0,0,0,0,0,0,0,0,0,0,0
295,PSDTC,0,0,0,0,0,0,0,0,0,0,0
296,PETKM,0,0,0,0,0,0,0,0,0,0,0
297,PKENT,0,0,0,0,0,0,0,0,0,0,0
298,PETUN,0,0,0,0,0,0,0,0,0,0,0
299,PINSU,0,0,0,0,0,0,0,0,0,0,0
300,PNSUT,0,0,0,0,0,0,0,0,0,0,0
301,PKART,0,0,0,0,0,0,0,0,0,0,0
302,POLHO,0,0,0,0,0,0,0,0,0,0,0
303,POLTK,0,0,0,0,0,0,0,0,0,0,0
304,PRZMA,0,0,0,0,0,0,0,0,0,0,0
305,QUAGR,0,0,0,0,0,0,0,0,0,0,0
306,RALYH,0,0,0,0,0,0,0,0,0,0,0
307,RYGYO,0,0,0,0,0,0,0,0,0,0,0
308,RODRG,0,0,0,0,0,0,0,0,0,0,0
309,RTALB,0,0,0,0,0,0,0,0,0,0,0
310,SAFKR,0,0,0,0,0,0,0,0,0,0,0
311,SANEL,0,0,0,0,0,0,0,0,0,0,0
312,SANFM,0,0,0,0,0,0,0,0,0,0,0
313,SANKO,0,0,0,0,0,0,0,0,0,0,0
314,SAMAT,0,0,0,0,0,0,0,0,0,0,0
315,SARKY,0,0,0,0,0,0,0,0,0,0,0
316,SASA,0,0,0,0,0,0,0,0,0,0,0
317,SAYAS,0,0,0,0,0,0,0,0,0,0,0
318,SEKUR,0,0,0,0,0,0,0,0,0,0,0
319,SELEC,0,0,0,0,0,0,0,0,0,0,0
320,SELGD,0,0,0,0,0,0,0,0,0,0,0
321,SELVA,0,0,0,0,0,0,0,0,0,0,0
322,SNKRN,0,0,0,0,0,0,0,0,0,0,0
323,SRVGY,0,0,0,0,0,0,0,0,0,0,0
324,SEYKM,0,0,0,0,0,0,0,0,0,0,0
325,SILVR,0,0,0,0,0,0,0,0,0,0,0
326,SNGYO,0,0,0,0,0,0,0,0,0,0,0
327,SMRTG,0,0,0,0,0,0,0,0,0,0,0
328,SMART,0,0,0,0,0,0,0,0,0,0,0
329,SKTAS,0,0,0,0,0,0,0,0,0,0,0
330,SONME,0,0,0,0,0,0,0,0,0,0,0
331,SNPAM,0,0,0,0,0,0,0,0,0,0,0
332,SEGYO,0,0,0,0,0,0,0,0,0,0,0
333,SOKM,0,0,0,0,0,0,0,0,0,0,0
334,TATGD,0,0,0,0,0,0,0,0,0,0,0
335,TAVHL,0,0,0,0,0,0,0,0,0,0,0
336,TEKTU,0,0,0,0,0,0,0,0,0,0,0
337,TKFEN,0,0,0,0,0,0,0,0,0,0,0
338,TKNSA,0,0,0,0,0,0,0,0,0,0,0
339,TMPOL,0,0,0,0,0,0,0,0,0,0,0
340,TETMT,0,0,0,0,0,0,0,0,0,0,0
341,TGSAS,0,0,0,0,0,0,0,0,0,0,0
342,TOASO,0,0,0,0,0,0,0,0,0,0,0
343,TRGYO,0,0,0,0,0,0,0,0,0,0,0
344,TLMAN,0,0,0,0,0,0,0,0,0,0,0
345,TDGYO,0,0,0,0,0,0,0,0,0,0,0
346,TSGYO,0,0,0,0,0,0,0,0,0,0,0
347,TUCLK,0,0,0,0,0,0,0,0,0,0,0
348,TUKAS,0,0,0,0,0,0,0,0,0,0,0
349,TRCAS,0,0,0,0,0,0,0,0,0,0,0
350,TRILC,0,0,0,0,0,0,0,0,0,0,0
351,TCELL,0,0,0,0,0,0,0,0,0,0,0
352,TMSN,0,0,0,0,0,0,0,0,0,0,0
353,TUPRS,0,0,0,0,0,0,0,0,0,0,0
354,THYAO,0,0,0,0,0,0,0,0,0,0,0
355,PRKAB,0,0,0,0,0,0,0,0,0,0,0
356,TTKOM,0,0,0,0,0,0,0,0,0,0,0
357,TTRAK,0,0,0,0,0,0,0,0,0,0,0
358,TBORG,0,0,0,0,0,0,0,0,0,0,0
359,SISE,0,0,0,0,0,0,0,0,0,0,0
360,UFUK,0,0,0,0,0,0,0,0,0,0,0
361,ULUSE,0,0,0,0,0,0,0,0,0,0,0
362,ULUUN,0,0,0,0,0,0,0,0,0,0,0
363,USAK,0,0,0,0,0,0,0,0,0,0,0
364,ULKER,0,0,0,0,0,0,0,0,0,0,0
365,UNLU,0,0,0,0,0,0,0,0,0,0,0
366,VKGYO,0,0,0,0,0,0,0,0,0,0,0
367,VAKKO,0,0,0,0,0,0,0,0,0,0,0
368,VANGD,0,0,0,0,0,0,0,0,0,0,0
369,VBTYZ,0,0,0,0,0,0,0,0,0,0,0
370,VERUS,0,0,0,0,0,0,0,0,0,0,0
371,VESBE,0,0,0,0,0,0,0,0,0,0,0
372,VESTL,0,0,0,0,0,0,0,0,0,0,0
373,VKING,0,0,0,0,0,0,0,0,0,0,0
374,YAPRK,0,0,0,0,0,0,0,0,0,0,0
375,YATAS,0,0,0,0,0,0,0,0,0,0,0
376,YAYLA,0,0,0,0,0,0,0,0,0,0,0
377,YGGYO,0,0,0,0,0,0,0,0,0,0,0
378,YEOTK,0,0,0,0,0,0,0,0,0,0,0
379,YGYO,0,0,0,0,0,0,0,0,0,0,0
380,YYAPI,0,0,0,0,0,0,0,0,0,0,0
381,YESIL,0,0,0,0,0,0,0,0,0,0,0
382,YKSLN,0,0,0,0,0,0,0,0,0,0,0
383,YUNSA,0,0,0,0,0,0,0,0,0,0,0
384,ZEDUR,0,0,0,0,0,0,0,0,0,0,0
385,ZRGYO,0,0,0,0,0,0,0,0,0,0,0
386,ZOREN,0,0,0,0,0,0,0,0,0,0,0
