Index,Share,Report_Date
458,SISE,2023-04-28 00:00:00
459,SUWEN,2023-05-08 00:00:00
460,SOKM,2023-05-09 00:00:00
461,HALKB,2023-05-10 00:00:00
462,HALKB,2023-05-10 00:00:00
463,KLNMA,2023-04-27 00:00:00
464,KLNMA,2023-04-27 00:00:00
467,TSKB,2023-05-03 00:00:00
468,TSKB,2023-05-03 00:00:00
469,TBORG,2023-05-10 00:00:00
470,TNZTP,2023-05-09 00:00:00
471,TATGD,2023-04-27 00:00:00
472,TAVHL,2023-04-25 00:00:00
473,TETMT,2023-05-10 00:00:00
474,TEKTU,2023-05-10 00:00:00
475,TKFEN,2023-04-27 00:00:00
476,TKNSA,2023-05-02 00:00:00
477,TMPOL,2023-05-10 00:00:00
478,TERA,2023-05-10 00:00:00
479,TFNVK,2023-05-08 00:00:00
480,TGSAS,2023-05-10 00:00:00
481,TOASO,2023-04-27 00:00:00
482,TRGYO,2023-05-09 00:00:00
483,TRGYO,2023-05-09 00:00:00
484,TLMAN,2023-05-08 00:00:00
485,TSPOR,2023-04-10 00:00:00
486,TDGYO,2023-05-01 00:00:00
487,TSGYO,2023-04-28 00:00:00
488,TUCLK,2023-05-02 00:00:00
489,TUKAS,2023-05-09 00:00:00
490,TRCAS,2023-05-02 00:00:00
491,TUREX,2023-05-10 00:00:00
492,TRILC,2023-05-02 00:00:00
493,TCELL,2023-05-09 00:00:00
494,TMSN,2023-05-10 00:00:00
495,TUPRS,2023-04-28 00:00:00
496,THYAO,2023-05-03 00:00:00
497,PRKAB,2023-04-26 00:00:00
498,TTKOM,2023-05-08 00:00:00
499,TTRAK,2023-04-26 00:00:00
500,TURGG,2023-05-02 00:00:00
501,TURSG,2023-05-02 00:00:00
502,TURSG,2023-05-02 00:00:00
503,UFUK,2023-05-02 00:00:00
504,ULAS,2023-05-02 00:00:00
505,ULUFA,2023-05-02 00:00:00
506,ULUSE,2022-05-22 00:00:00
507,ULUUN,2023-05-10 00:00:00
509,USAK,2023-05-10 00:00:00
511,ULKER,2023-05-09 00:00:00
512,UNLU,2023-05-09 00:00:00
513,VAKFN,2023-04-26 00:00:00
514,VKGYO,2023-04-28 00:00:00
515,VAKVK,2023-05-02 00:00:00
516,VKFYO,2023-05-02 00:00:00
517,VAKBN,2023-05-15 00:00:00
518,VAKBN,2023-05-15 00:00:00
519,VAKKO,2023-05-10 00:00:00
520,VANGD,2023-05-02 00:00:00
521,VBTYZ,2023-05-09 00:00:00
522,VERUS,2023-05-10 00:00:00
523,VERTU,2023-05-02 00:00:00
524,VESTL,2023-05-10 00:00:00
525,VESBE,2023-05-02 00:00:00
526,VKING,2023-05-02 00:00:00
527,YKBNK,2023-04-28 00:00:00
528,YKBNK,2023-04-28 00:00:00
529,YAPRK,2023-05-10 00:00:00
530,YATAS,2023-05-10 00:00:00
531,YAYLA,2023-05-10 00:00:00
532,YYLGD,2023-05-02 00:00:00
533,YGGYO,2023-05-06 00:00:00
534,YGGYO,2023-05-06 00:00:00
535,YGYO,2023-05-10 00:00:00
536,YGYO,2023-05-10 00:00:00
537,YYAPI,2023-05-10 00:00:00
538,YESIL,2023-05-02 00:00:00
539,YEOTK,2023-05-10 00:00:00
542,YKSLN,2023-05-02 00:00:00
543,YUNSA,2023-05-04 00:00:00
544,ZEDUR,2023-05-10 00:00:00
545,ZRGYO,2023-05-10 00:00:00
546,ZRGYO,2023-05-10 00:00:00
547,ZOREN,2023-05-09 00:00:00
