Index,Share,Report_Date
236,IHAAS,2023-02-20 00:00:00
237,IHLAS,2023-03-12 00:00:00
238,IHYAY,2023-03-11 00:00:00
239,IMASM,2023-03-01 00:00:00
240,INDES,2023-02-28 00:00:00
241,INFO,2023-01-31 00:00:00
242,INTEM,2023-03-01 00:00:00
243,INVEO,2023-02-14 00:00:00
244,INVES,2023-01-31 00:00:00
245,ISKPL,2023-03-10 00:00:00
246,IEYHO,2023-03-13 00:00:00
247,IPEKE,2023-03-01 00:00:00
248,ISDMR,2023-03-03 00:00:00
249,"ISATR, ISBTR, ISCTR, ISKUR",2023-02-06 00:00:00
250,"ISATR, ISBTR, ISCTR, ISKUR",2023-02-07 00:00:00
251,ISFIN,2023-01-30 00:00:00
252,ISGSY,2023-01-27 00:00:00
253,ISGYO,2023-01-30 00:00:00
254,ISMEN,2023-01-31 00:00:00
255,ISYAT,2023-01-27 00:00:00
256,ISBIR,2023-03-13 00:00:00
257,ISSEN,2023-03-06 00:00:00
258,ITTFH,2023-03-13 00:00:00
259,IZINV,2023-03-13 00:00:00
260,IZMDC,2023-03-09 00:00:00
261,IZFAS,2023-03-08 00:00:00
262,JANTS,2023-02-28 00:00:00
263,KFEIN,2023-03-10 00:00:00
264,KLKIM,2023-03-02 00:00:00
265,KAPLM,2023-03-13 00:00:00
266,KRDMD,2023-03-03 00:00:00
267,KAREL,2023-02-23 00:00:00
268,KARSN,2023-03-08 00:00:00
269,KRTEK,22.02.2023 
270,KARYE,2023-03-13 00:00:00
271,KARTN,2023-03-01 00:00:00
272,KATMR,2023-03-10 00:00:00
273,KENT,2023-02-28 00:00:00
274,KERVT,2023-03-13 00:00:00
275,KRVGD,2023-03-11 00:00:00
276,KERVN,2023-03-27 00:00:00
277,KLRHO,2023-03-13 00:00:00
278,KIMMR,2023-02-28 00:00:00
279,KMPUR,2023-03-06 00:00:00
280,KZBGY,2023-02-02 00:00:00
281,KLGYO,2023-03-01 00:00:00
282,KLMSN,2023-03-14 00:00:00
283,KCAER,2023-02-20 00:00:00
284,KCHOL,2023-02-10 00:00:00
285,KLSYN,2023-03-08 00:00:00
286,KNFRT,2023-03-13 00:00:00
287,KONTR,2023-03-05 00:00:00
288,KONYA,2023-02-28 00:00:00
289,KONKA,2023-02-27 00:00:00
290,KGYO,2023-03-10 00:00:00
291,KGYO,2023-03-10 00:00:00
292,KORDS,2023-02-24 00:00:00
293,KRPLS,2023-03-01 00:00:00
294,KOZAL,2023-03-01 00:00:00
295,KOZAA,2023-03-01 00:00:00
296,KRGYO,2023-02-06 00:00:00
297,KRSTL,2023-03-13 00:00:00
298,KRONT,2023-03-02 00:00:00
299,KTKVK,2023-02-08 00:00:00
300,KSTUR,2023-03-01 00:00:00
301,KUVVA,2023-02-28 00:00:00
302,KUYAS,2023-01-27 00:00:00
303,KUTPO,2023-03-07 00:00:00
304,KTSKR,2023-02-28 00:00:00
305,LIDER,2023-03-01 00:00:00
306,LIDFA,2023-02-17 00:00:00
307,LINK,2023-02-27 00:00:00
308,LOGO,2023-02-27 00:00:00
309,LKMNH,2023-03-02 00:00:00
310,LUKSK,2023-03-13 00:00:00
311,MACKO,2023-03-10 00:00:00
312,MAKIM,2023-02-27 00:00:00
313,MAKTK,2023-03-10 00:00:00
314,MANAS,2023-03-01 00:00:00
315,MAGEN,2023-03-13 00:00:00
316,MARKA,2023-03-13 00:00:00
317,MAALT,2023-02-07 00:00:00
318,MRSHL,2023-03-01 00:00:00
319,MRGYO,2023-01-26 00:00:00
320,MARTI,2023-02-09 00:00:00
321,MTRKS,2023-03-13 00:00:00
322,MAVI,2023-03-14 00:00:00
323,MZHLD,2023-03-13 00:00:00
324,MEDTR,2023-02-20 00:00:00
325,MEGAP,2023-03-11 00:00:00
326,MNDRS,2023-03-06 00:00:00
327,MERCN,2023-03-09 00:00:00
328,MERIT,2023-03-13 00:00:00
329,MERKO,2023-03-13 00:00:00
330,METUR,2023-02-23 00:00:00
331,METRO,2023-03-01 00:00:00
332,MEPET,2023-03-13 00:00:00
333,MTRYO,2023-01-24 00:00:00
334,MIATK,2023-01-23 00:00:00
335,MGROS,2023-02-28 00:00:00
336,MIPAZ,2023-02-28 00:00:00
337,MSGYO,2023-03-01 00:00:00
338,MPARK,2023-03-08 00:00:00
339,MMCAS,2023-04-14 00:00:00
340,MOBTL,2023-03-10 00:00:00
341,MNDTR,2023-03-14 00:00:00
342,EGEPO,2023-03-01 00:00:00
343,NATEN,2023-03-13 00:00:00
344,NTGAZ,2023-02-27 00:00:00
345,NTHOL,2023-03-13 00:00:00
346,NETAS,2023-03-08 00:00:00
347,NIBAS,2023-03-01 00:00:00
348,NUHCM,2023-01-31 00:00:00
349,NUGYO,2023-02-28 00:00:00
350,OBASE,2023-03-10 00:00:00
351,ODAS,2023-03-13 00:00:00
352,ONCSM,2023-02-21 00:00:00
353,ORCAY,2023-02-20 00:00:00
354,ORGE,2023-03-08 00:00:00
355,ORMA,2023-03-01 00:00:00
356,OSMEN,2023-02-01 00:00:00
357,OSTIM,2023-03-12 00:00:00
358,OTKAR,2023-01-31 00:00:00
359,OTTO,2023-03-07 00:00:00
360,OYAKC,2023-03-07 00:00:00
361,OYYAT,2023-03-01 00:00:00
362,OYAYO,2023-03-01 00:00:00
363,OYLUM,2023-03-01 00:00:00
364,OZKGY,2023-02-27 00:00:00
365,OZKGY,27.02.2023
366,OZGYO,2023-01-27 00:00:00
367,OZRDN,2023-03-13 00:00:00
368,OZSUB,2023-03-09 00:00:00
369,PAMEL,2023-03-13 00:00:00
370,PAGYO,2023-03-08 00:00:00
371,PAGYO,2023-03-08 00:00:00
372,PNLSN,2023-02-21 00:00:00
373,PAPIL,2023-03-13 00:00:00
374,PRDGS,2023-03-01 00:00:00
375,PRKME,2023-03-09 00:00:00
376,PARSN,2023-03-03 00:00:00
377,PSGYO,2023-01-30 00:00:00
378,PCILT,2023-03-02 00:00:00
379,PGSUS,2023-03-06 00:00:00
380,PEKGY,2023-03-13 00:00:00
