,Sector,Cari_Oran,Alacak_Devir_Hızı,Aktif_Devir_Hızı,Oz_Varlık_Karlılıgı,Kar_Marjları,Fiyat_Satıs_Oranı
33,"İDARİ VE DESTEK HİZMET FAALİYETLERİ / SEYAHAT ACENTESİ, TUR OPERATÖRÜ VE DİĞER REZERVASYON HİZMETLERİ İLE İLGİLİ FAALİYETLER",1.815938230646681,2.2088439187004902,0.0795498015592909,101.89,"{""varlık_getirisi"": 48.55, ""yatırılan_sermayenin_getirisi"": 101.39, ""brüt_kar_marjı"": 0.92, ""faliyet_kar_marjı"": -13.83, ""favök_marjı"": -12.55, ""net_marj"": -27.32}",4.06
34,MALİ KURULUŞLAR / GİRİŞİM SERMAYESİ YATIRIM ORTAKLIKLARI,113.38233395402955,49.33580761099753,-0.0846267976858309,60.76,,2.81
35,"MESLEKİ, BİLİMSEL VE TEKNİK FAALİYETLER / HUKUK VE MUHASEBE FAALİYETLERİ",1.280076039688953,2.8101680722025324,0.2278875841979196,86.59,"{""varlık_getirisi"": 38.27, ""yatırılan_sermayenin_getirisi"": 81.91, ""brüt_kar_marjı"": 59.72, ""faliyet_kar_marjı"": 1.13, ""favök_marjı"": 4.09, ""net_marj"": 23.53}",18.3
36,BİLGİ VE İLETİŞİM / BİLGİ HİZMET FAALİYETLERİ,4.128554017431767,1.7357265281479686,0.4097605348638879,25.73,"{""varlık_getirisi"": 18.89, ""yatırılan_sermayenin_getirisi"": 24.6, ""brüt_kar_marjı"": 28.87, ""faliyet_kar_marjı"": 14.69, ""favök_marjı"": 18.59, ""net_marj"": 30.04}",40.96
37,MADENCİLİK VE TAŞ OCAKÇILIĞI / HAM PETROL VE DOĞAL GAZ ÇIKARTILMASI,6.134636486928441,53.28368668499956,0.1878707980117651,39.31,"{""varlık_getirisi"": 7.29, ""yatırılan_sermayenin_getirisi"": 39.26, ""brüt_kar_marjı"": 35.08, ""faliyet_kar_marjı"": 15.74, ""favök_marjı"": 20.21, ""net_marj"": 20.15}",10.54
38,"TARIM, ORMANCILIK VE BALIKÇILIK / TARIM VE HAYVANCILIK AVCILIK VE İLGİLİ HİZMET FAALİYETLERİ",2.7156783962990874,3.113914886560646,0.11237210176243051,92.06,"{""varlık_getirisi"": 54.98, ""yatırılan_sermayenin_getirisi"": 86.12, ""brüt_kar_marjı"": 38.59, ""faliyet_kar_marjı"": 33.56, ""favök_marjı"": 34.85, ""net_marj"": 78.65}",18.1
39,MALİ KURULUŞLAR / FİNANSMAN ŞİRKETLERİ,,,,,,
40,"MESLEKİ, BİLİMSEL VE TEKNİK FAALİYETLER / MİMARLIK VE MÜHENDİSLİK FAALİYETLERİ; TEKNİK MUAYENE VE ANALİZ",1.656275803225098,2.5048009460809806,0.22589429482361104,75.735,"{""varlık_getirisi"": 17.155, ""yatırılan_sermayenin_getirisi"": 45.730000000000004, ""brüt_kar_marjı"": 12.774999999999999, ""faliyet_kar_marjı"": 6.445, ""favök_marjı"": 7.375, ""net_marj"": 20.125}",64.75
41,"EĞİTİM, SAĞLIK, SPOR VE DİĞER SOSYAL HİZMETLER / İNSAN SAĞLIĞI VE SOSYAL HİZMETLER",1.0207390719203382,3.0422702807922883,0.33689703423887507,24.165,"{""varlık_getirisi"": 7.275, ""yatırılan_sermayenin_getirisi"": 15.639999999999999, ""brüt_kar_marjı"": 26.585, ""faliyet_kar_marjı"": 8.3, ""favök_marjı"": 9.13, ""net_marj"": 8.3}",
42,"EĞİTİM, SAĞLIK, SPOR VE DİĞER SOSYAL HİZMETLER / SPOR EĞLENCE BOŞ ZAMANLARI DEĞERLENDİRME HİZMETLERİ",,,,,,
43,"TARIM, ORMANCILIK VE BALIKÇILIK / BALIKÇILIK VE SU ÜRÜNLERİ",,,,,,
44,"MESLEKİ, BİLİMSEL VE TEKNİK FAALİYETLER / REKLAMCILIK VE PAZAR ARAŞTIRMASI",1.148739018893562,1.012880533421622,0.4725278100636461,,,
45,İDARİ VE DESTEK HİZMET FAALİYETLERİ / GÜVENLİK VE SORUŞTURMA FAALİYETLERİ,2.604284259347598,0.2090747116271362,0.0305567259903823,12.67,"{""varlık_getirisi"": 6.72, ""yatırılan_sermayenin_getirisi"": 12.09, ""brüt_kar_marjı"": 14.43, ""faliyet_kar_marjı"": 12.57, ""favök_marjı"": 14.21, ""net_marj"": 37.28}",
46,BİLGİ VE İLETİŞİM / TELEKOMÜNİKASYON,1.2415326104719622,2.349873530050697,0.2360462546867194,29.775000000000002,"{""varlık_getirisi"": 8.37, ""yatırılan_sermayenin_getirisi"": 12.905, ""brüt_kar_marjı"": 35.894999999999996, ""faliyet_kar_marjı"": 21.03, ""favök_marjı"": 36.245000000000005, ""net_marj"": 6.4750000000000005}",22.205
