,Stock,Sector
89,BFREN,İMALAT / METAL EŞYA MAKİNE ELEKTRİKLİ CİHAZLAR VE ULAŞIM ARAÇLARI
90,BOSSA,"İMALAT / TEKSTİL, GİYİM EŞYASI VE DERİ"
91,BRISA,İMALAT / KİMYA İLAÇ PETROL LASTİK VE PLASTİK ÜRÜNLER
92,BURCE,İMALAT / ANA METAL SANAYİ
93,BURVA,İMALAT / ANA METAL SANAYİ
94,BUCIM,İMALAT / TAŞ VE TOPRAĞA DAYALI
95,BVSAN,İMALAT / METAL EŞYA MAKİNE ELEKTRİKLİ CİHAZLAR VE ULAŞIM ARAÇLARI
96,BIGCH,OTELLER VE LOKANTALAR / YİYECEK VE İÇECEK HİZMETLERİ
97,CRFSA,TOPTAN VE PERAKENDE TİCARET / PERAKENDE TİCARET
98,CASA,TOPTAN VE PERAKENDE TİCARET / PERAKENDE TİCARET
99,CEOEM,"İDARİ VE DESTEK HİZMET FAALİYETLERİ / BÜRO YÖNETİMİ, BÜRO DESTEĞİ VE DİĞER ŞİRKET DESTEK FAALİYETLERİ"
100,CCOLA,"İMALAT / GIDA, İÇECEK VE TÜTÜN"
101,CONSE,ELEKTRİK GAZ VE SU / ELEKTRİK GAZ VE BUHAR
102,COSMO,MALİ KURULUŞLAR / HOLDİNGLER VE YATIRIM ŞİRKETLERİ
103,CRDFA,MALİ KURULUŞLAR / FİNANSAL KİRALAMA VE FAKTORİNG ŞİRKETLERİ
104,CVKMD,MADENCİLİK VE TAŞ OCAKÇILIĞI / METAL CEVHERİ MADENCİLİĞİ
105,CWENE,ELEKTRİK GAZ VE SU / ELEKTRİK GAZ VE BUHAR
106,CANTE,ELEKTRİK GAZ VE SU / ELEKTRİK GAZ VE BUHAR
107,CLEBI,ULAŞTIRMA VE DEPOLAMA / ULAŞTIRMA VE DEPOLAMA
108,CELHA,İMALAT / ANA METAL SANAYİ
109,CEMAS,İMALAT / ANA METAL SANAYİ
110,CEMTS,İMALAT / ANA METAL SANAYİ
111,CMBTN,İMALAT / TAŞ VE TOPRAĞA DAYALI
112,CMENT,İMALAT / TAŞ VE TOPRAĞA DAYALI
113,CIMSA,İMALAT / TAŞ VE TOPRAĞA DAYALI
114,CUSAN,İMALAT / ANA METAL SANAYİ
115,DAGI,"İMALAT / TEKSTİL, GİYİM EŞYASI VE DERİ"
116,DAGHL,MALİ KURULUŞLAR / HOLDİNGLER VE YATIRIM ŞİRKETLERİ
117,DAPGM,İNŞAAT VE BAYINDIRLIK / İNŞAAT VE BAYINDIRLIK İŞLERİ
118,DARDL,"İMALAT / GIDA, İÇECEK VE TÜTÜN"
119,DGATE,TEKNOLOJİ / BİLİŞİM
120,DMSAS,İMALAT / ANA METAL SANAYİ
121,DENGE,MALİ KURULUŞLAR / HOLDİNGLER VE YATIRIM ŞİRKETLERİ
122,DZGYO,MALİ KURULUŞLAR / GAYRİMENKUL YATIRIM ORTAKLIKLARI
123,DERIM,"İMALAT / TEKSTİL, GİYİM EŞYASI VE DERİ"
124,DERHL,MALİ KURULUŞLAR / HOLDİNGLER VE YATIRIM ŞİRKETLERİ
125,DESA,"İMALAT / TEKSTİL, GİYİM EŞYASI VE DERİ"
126,DESPC,TEKNOLOJİ / BİLİŞİM
127,DEVA,İMALAT / KİMYA İLAÇ PETROL LASTİK VE PLASTİK ÜRÜNLER
128,DNISI,İMALAT / KİMYA İLAÇ PETROL LASTİK VE PLASTİK ÜRÜNLER
129,DIRIT,"İMALAT / TEKSTİL, GİYİM EŞYASI VE DERİ"
130,DITAS,İMALAT / METAL EŞYA MAKİNE ELEKTRİKLİ CİHAZLAR VE ULAŞIM ARAÇLARI
131,DOCO,OTELLER VE LOKANTALAR / YİYECEK VE İÇECEK HİZMETLERİ
132,DOBUR,BİLGİ VE İLETİŞİM / YAYIMCILIK
133,DOHOL,MALİ KURULUŞLAR / HOLDİNGLER VE YATIRIM ŞİRKETLERİ
134,DGNMO,İMALAT / ORMAN ÜRÜNLERİ VE MOBİLYA
135,ARASE,ELEKTRİK GAZ VE SU / ELEKTRİK GAZ VE BUHAR
136,DOGUB,İMALAT / TAŞ VE TOPRAĞA DAYALI
137,DGGYO,MALİ KURULUŞLAR / GAYRİMENKUL YATIRIM ORTAKLIKLARI
138,DOAS,TOPTAN VE PERAKENDE TİCARET / TOPTAN TİCARET
139,DOKTA,İMALAT / ANA METAL SANAYİ
140,DURDO,İMALAT / KAĞIT VE KAĞIT ÜRÜNLERİ BASIM
141,DYOBY,İMALAT / KİMYA İLAÇ PETROL LASTİK VE PLASTİK ÜRÜNLER
142,EDATA,TEKNOLOJİ / BİLİŞİM
143,ECZYT,MALİ KURULUŞLAR / HOLDİNGLER VE YATIRIM ŞİRKETLERİ
144,EDIP,İNŞAAT VE BAYINDIRLIK / İNŞAAT VE BAYINDIRLIK İŞLERİ
145,EGEEN,İMALAT / METAL EŞYA MAKİNE ELEKTRİKLİ CİHAZLAR VE ULAŞIM ARAÇLARI
146,EGGUB,İMALAT / KİMYA İLAÇ PETROL LASTİK VE PLASTİK ÜRÜNLER
147,EGPRO,İMALAT / KİMYA İLAÇ PETROL LASTİK VE PLASTİK ÜRÜNLER
148,EGSER,İMALAT / TAŞ VE TOPRAĞA DAYALI
149,EPLAS,İMALAT / KİMYA İLAÇ PETROL LASTİK VE PLASTİK ÜRÜNLER
150,ECILC,MALİ KURULUŞLAR / HOLDİNGLER VE YATIRIM ŞİRKETLERİ
151,EKIZ,"İMALAT / GIDA, İÇECEK VE TÜTÜN"
152,EKSUN,"İMALAT / GIDA, İÇECEK VE TÜTÜN"
153,ELITE,"İMALAT / GIDA, İÇECEK VE TÜTÜN"
154,EMKEL,İMALAT / METAL EŞYA MAKİNE ELEKTRİKLİ CİHAZLAR VE ULAŞIM ARAÇLARI
155,EMNIS,İMALAT / KİMYA İLAÇ PETROL LASTİK VE PLASTİK ÜRÜNLER
156,EKGYO,MALİ KURULUŞLAR / GAYRİMENKUL YATIRIM ORTAKLIKLARI
157,ENJSA,ELEKTRİK GAZ VE SU / ELEKTRİK GAZ VE BUHAR
